Train_fraction,case,method,status,F1_raw,F1_failure_aware,recall_failure_aware,n_recovered,n_native,n_predicted
100%,7n3o_A_B,psmp,evaluable,0.0,0.0,0.0,0,171,259
100%,7orl_B_A,psmp,evaluable,0.0,0.0,0.0,0,88,440
100%,7p7u_V_J,psmp,pipeline_error,,0.0,0.0,,,
100%,7py3_D_G,psmp,missing_prediction,,0.0,0.0,,,
100%,7q3l_G_E,psmp,evaluable,0.0,0.0,0.0,0,25,0
100%,7rim_G_C,psmp,pipeline_error,,0.0,0.0,,,
100%,7uwe_F_A,psmp,missing_prediction,,0.0,0.0,,,
100%,7uzx_A_H,psmp,evaluable,0.03669724770642202,0.03669724770642202,0.04081632653061224,2,49,60
100%,7v9u_A_D,psmp,evaluable,0.027649769585253458,0.027649769585253458,0.023255813953488372,3,129,88
100%,7y7q_A_D,psmp,evaluable,0.0,0.0,0.0,0,20,62
100%,8b0j_A_G,psmp,evaluable,0.0,0.0,0.0,0,47,283
100%,8bws_E_S,psmp,pipeline_error,,0.0,0.0,,,
100%,8g4i_T_A,psmp,evaluable,0.0,0.0,0.0,0,171,467
100%,8h67_E_B,psmp,evaluable,0.0136986301369863,0.0136986301369863,0.019230769230769232,1,52,94
100%,8i0w_WA_I,psmp,evaluable,0.0,0.0,0.0,0,135,337
100%,8k59_A_I,psmp,missing_prediction,,0.0,0.0,,,
100%,8k5p_A_L,psmp,evaluable,0.0,0.0,0.0,0,46,163
100%,8pkl_G_H,psmp,pipeline_error,,0.0,0.0,,,
100%,8u72_N_B,psmp,evaluable,0.0,0.0,0.0,0,62,46
100%,9h9n_G_A,psmp,evaluable,0.0,0.0,0.0,0,132,193
100%,9jwk_A_B,psmp,evaluable,0.01520086862106406,0.01520086862106406,0.01647058823529412,7,425,496
100%,9k11_D_C,psmp,evaluable,0.0,0.0,0.0,0,12,31
100%,9k31_A_C,psmp,evaluable,0.0054794520547945215,0.0054794520547945215,0.006024096385542169,1,166,199
100%,9kbz_A_C,psmp,evaluable,0.0,0.0,0.0,0,118,448
100%,9mna_C_E,psmp,evaluable,0.0,0.0,0.0,0,29,8
100%,9oy8_B_A,psmp,evaluable,0.0,0.0,0.0,0,172,620
100%,9pij_J_F,psmp,evaluable,0.0,0.0,0.0,0,104,315
100%,9yck_B_C,psmp,evaluable,0.0,0.0,0.0,0,48,187
